onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
0.684988662132,0.766258503401,4,1,1,1,1,0.700929705215,"""4/4""",50,0.296554872983,60.8023199561,1,1,1,Dj7,B1,theme:t17-18
1.55573696145,0.145124716553,4,4,1,2,2,0.670997732426,"""4/4""",52,0.33641068429,66.6962769657,1,0,1,Dj7,B1,theme:t17-18
1.700861678,0.278639455782,4,4,1,2,3,0.670997732426,"""4/4""",54,0.337027215381,66.8641906543,1,0,1,Dj7,B1,theme:t17-18
2.02013605442,0.406349206349,4,2,1,3,1,0.64820861678,"""4/4""",57,0.980913122355,66.5749537741,1,0,1,Dj7,B1,theme:t17-18
2.42648526077,0.864943310658,4,2,1,3,2,0.64820861678,"""4/4""",64,0.903916461051,66.6789822649,1,0,1,E-7,B1,theme:t17-18
3.29142857143,0.365714285714,4,3,2,1,1,0.678639455782,"""4/4""",62,0.830883891286,71.1967445746,1,0,1,E-7,B1,theme:t17-18
3.72680272109,0.226394557823,4,3,2,1,3,0.678639455782,"""4/4""",66,0.977805509615,75.0890057396,2,1,1,D/F#,B1,theme:t17-18
3.95319727891,0.429569160998,4,3,2,2,1,0.668027210884,"""4/4""",69,0.525538804371,64.4523180228,2,0,1,D/F#,B1,theme:t17-18
4.4001814059,0.197369614512,4,3,2,2,3,0.668027210884,"""4/4""",67,0.590058983013,72.9501121321,2,0,1,D/F#,B1,theme:t17-18
4.64399092971,0.185759637188,4,3,2,3,1,0.644353741497,"""4/4""",65,0.894886973446,74.8000656269,2,0,1,G-7,B1,theme:t17-18
4.82975056689,0.139319727891,4,3,2,3,2,0.644353741497,"""4/4""",66,0.824771464805,72.9432364941,2,0,1,G-7,B1,theme:t17-18
5.00390022676,0.998458049887,4,3,2,3,3,0.644353741497,"""4/4""",62,0.817529396468,69.2267991303,2,0,1,G-7,B1,theme:t17-18
6.00235827664,0.574693877551,4,1,3,1,1,0.632743764172,"""4/4""",57,-0.0498692356507,62.1288925765,2,0,1,F#-7,B1,theme:t17-18
6.83827664399,0.19156462585,4,6,3,2,3,0.667573696145,"""4/4""",62,1.1008938464,77.4501159668,3,1,1,B-7,B1,lick
7.05886621315,0.0290249433107,4,6,3,2,5,0.667573696145,"""4/4""",64,0.304511541326,70.4981045407,3,0,1,B-7,B1,lick
7.08789115646,0.226394557823,4,6,3,2,6,0.667573696145,"""4/4""",66,0.963082010582,72.5793161654,3,0,1,B-7,B1,lick
7.32009070295,0.179954648526,4,2,3,3,1,0.679727891156,"""4/4""",66,0.923108268817,72.7174455039,3,0,1,E-7,B1,lick
7.50004535147,0.795283446712,4,2,3,3,2,0.679727891156,"""4/4""",64,0.65048100455,69.7879184523,3,0,1,E-7,B1,lick
8.29532879819,0.150929705215,4,4,3,4,3,0.620362811791,"""4/4""",61,0.727216021423,72.4359596456,3,0,1,A7,B1,lick
8.45206349206,0.150929705215,4,4,3,4,4,0.620362811791,"""4/4""",64,0.707796725791,72.9528421963,3,0,1,A7,B1,lick
8.60299319728,0.0928798185941,4,4,4,1,1,0.669455782313,"""4/4""",62,0.647444660631,71.108093749,3,0,1,Dj7,B1,lick
8.71328798186,0.121904761905,4,4,4,1,2,0.669455782313,"""4/4""",60,0.0218104579329,63.63872607,3,0,1,Dj7,B1,lick
8.83519274376,0.133514739229,4,4,4,1,3,0.669455782313,"""4/4""",59,-0.111220586408,64.9167128571,3,0,1,Dj7,B1,lick
8.97451247166,1.1958276644,4,4,4,1,4,0.669455782313,"""4/4""",57,0.625428849377,61.9682717983,3,0,1,Dj7,B1,lick
10.3735147392,0.179954648526,4,4,4,3,4,0.621088435374,"""4/4""",72,0.549432552918,68.6128857037,4,1,1,Dj7,B1,line_w
10.5534693878,0.145124716553,4,3,4,4,1,0.605487528345,"""4/4""",74,0.677378256517,63.1724570124,4,0,1,Dj7,B1,line_w
10.7160090703,0.145124716553,4,3,4,4,2,0.605487528345,"""4/4""",74,0.629147384644,67.6125101487,4,0,1,Dj7,B1,line_w
10.8611337868,0.197369614512,4,3,4,4,3,0.605487528345,"""4/4""",69,0.629147384644,66.2919296698,4,0,1,Dj7,B1,line_w
11.0759183673,0.139319727891,4,6,5,1,1,0.649229024943,"""4/4""",69,0.218665971249,66.7403837203,4,0,1,Dj7,B1,line_w
11.2152380952,0.168344671202,4,6,5,1,2,0.649229024943,"""4/4""",72,0.370085984407,68.8155893211,4,0,1,D-7,B1,line_w
11.3951927438,0.16253968254,4,6,5,1,4,0.649229024943,"""4/4""",72,0.241285190696,67.1969935246,4,0,1,D-7,B1,line_w
11.563537415,0.0928798185941,4,6,5,1,5,0.649229024943,"""4/4""",71,0.339115284672,66.2115561019,4,0,1,D-7,B1,line_w
11.6564172336,0.0812698412698,4,6,5,1,6,0.649229024943,"""4/4""",67,0.979259740694,75.9215109016,4,0,1,D-7,B1,line_w
11.7376870748,0.0754648526077,4,8,5,2,1,0.649319727891,"""4/4""",69,0.393768227284,70.4350979082,4,0,1,D-7,B1,line_w
