EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,58,58,251
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,a,0,405
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,7,7,166
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,1,1,194
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,17,17,210
Note-Velocity,26,26,154
Note-On,67,67,67
Note-Duration,8,8,167
Position,25,25,218
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Note-Velocity,26,26,154
Note-On,69,69,69
Note-Duration,10,10,169
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Note-Velocity,26,26,154
Note-On,70,70,70
Note-Duration,10,10,169
Position,59,59,252
Note-Velocity,26,26,154
Note-On,71,71,71
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,1,1,194
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,19,19,212
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,7,7,166
Position,26,26,219
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,2,2,161
Position,28,28,221
Note-Velocity,27,27,155
Note-On,70,70,70
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,33,33,226
Note-Velocity,28,28,156
Note-On,69,69,69
Note-Duration,10,10,169
Position,44,44,237
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,50,50,243
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,153.33,40,302
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,3,3,196
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Backref-Referred,0,0,417
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,3,3,162
Position,6,6,199
Note-Velocity,24,24,152
Note-On,68,68,68
Note-Duration,3,3,162
Position,9,9,202
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,2,2,161
Position,12,12,205
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,17,17,210
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,10,10,169
Position,27,27,220
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,27,27,186
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,60,60,253
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,29,29,157
Note-On,76,76,76
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,2,2,195
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,12,12,171
Position,14,14,207
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,2,2,161
Position,19,19,212
Note-Velocity,26,26,154
Note-On,67,67,67
Note-Duration,2,2,161
Position,22,22,215
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,7,7,166
Position,29,29,222
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,34,34,227
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,9,9,168
Position,42,42,235
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,49,49,242
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,9,9,168
Position,59,59,252
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,3,3,196
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,9,9,168
Position,14,14,207
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,18,18,211
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,11,11,170
Position,29,29,222
Note-Velocity,18,18,146
Note-On,52,52,52
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,35,35,228
Note-Velocity,23,23,151
Note-On,56,56,56
Note-Duration,10,10,169
Position,45,45,238
Note-Velocity,20,20,148
Note-On,57,57,57
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,52,52,245
Note-Velocity,13,13,141
Note-On,58,58,58
Note-Duration,9,9,168
Position,61,61,254
Note-Velocity,19,19,147
Note-On,59,59,59
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,3,3,196
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,10,10,169
Position,13,13,206
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,2,2,161
Position,18,18,211
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,9,9,168
Position,28,28,221
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,34,34,227
Note-Velocity,22,22,150
Note-On,64,64,64
Note-Duration,9,9,168
Position,44,44,237
Note-Velocity,17,17,145
Note-On,62,62,62
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,A,9,331
Chord-Type,-7,None,357
Chord-Slash,A,9,343
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,G,7,329
Chord-Type,-,None,354
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,26,26,219
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Backref-Distance,2,2,419
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,4,4,163
Position,30,30,223
Note-Velocity,21,21,149
Note-On,70,70,70
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,34,34,227
Note-Velocity,18,18,146
Note-On,74,74,74
Note-Duration,2,2,161
Position,38,38,231
Note-Velocity,27,27,155
Note-On,77,77,77
Note-Duration,5,5,164
Position,43,43,236
Note-Velocity,28,28,156
Note-On,76,76,76
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,51,51,244
Note-Velocity,28,28,156
Note-On,74,74,74
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,27,27,155
Note-On,73,73,73
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,25,25,153
Note-On,71,71,71
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,C,0,322
Chord-Type,7,None,368
